radius_fraction,radius_cm,temperature_k,density_g_cm3,hydrogen_fraction,metal_fraction,opacity_cm2_g,luminosity_erg_s
1.8624382100e-02,1.2962156700e+09,1.5598818100e+07,1.4910301900e+02,3.4647195300e-01,2.1026275500e-02,1.2811560700e+00,2.3445275800e+31
1.9361425700e-02,1.3475122700e+09,1.5589155400e+07,1.4878167900e+02,3.4735056600e-01,2.1024679600e-02,1.2821048600e+00,2.6268934200e+31
2.0128330200e-02,1.4008871200e+09,1.5578727800e+07,1.4843585800e+02,3.4829755300e-01,2.1022957200e-02,1.2831292200e+00,2.9429349000e+31
2.0926388900e-02,1.4564302300e+09,1.5567475300e+07,1.4806378700e+02,3.4931808600e-01,2.1021098500e-02,1.2842351800e+00,3.2965984700e+31
2.1756960800e-02,1.5142361900e+09,1.5555333300e+07,1.4766358600e+02,3.5041770200e-01,2.1019088200e-02,1.2854186500e+00,3.6922782700e+31
2.2621475300e-02,1.5744044800e+09,1.5542232400e+07,1.4723325600e+02,3.5160232700e-01,2.1016904300e-02,1.2866776700e+00,4.1348638400e+31
2.3521436700e-02,1.6370398100e+09,1.5528097600e+07,1.4677067700e+02,3.5287829800e-01,2.1014574300e-02,1.2880377700e+00,4.6297922600e+31
2.4458430000e-02,1.7022524600e+09,1.5512848300e+07,1.4627360600e+02,3.5425238700e-01,2.1012048600e-02,1.2895060200e+00,5.1831048600e+31
2.5434126100e-02,1.7701587400e+09,1.5496397900e+07,1.4573967000e+02,3.5573181900e-01,2.1009327100e-02,1.2910914800e+00,5.8015087200e+31
2.6450288100e-02,1.8408813600e+09,1.5478653000e+07,1.4516636500e+02,3.5732430200e-01,2.1006390200e-02,1.2928034100e+00,6.4924434000e+31
2.7508778800e-02,1.9145499600e+09,1.5459513200e+07,1.4455105300e+02,3.5903804200e-01,2.1003221900e-02,1.2946520000e+00,7.2641528300e+31
2.8611567600e-02,1.9913016200e+09,1.5438870600e+07,1.4389096200e+02,3.6088177000e-01,2.0999804300e-02,1.2966482300e+00,8.1257624000e+31
2.9760739300e-02,2.0712814200e+09,1.5416609200e+07,1.4318318300e+02,3.6286476300e-01,2.0996121300e-02,1.2988040700e+00,9.0873614200e+31
3.0958503100e-02,2.1546431200e+09,1.5392604500e+07,1.4242467500e+02,3.6499686300e-01,2.0992151800e-02,1.3011323900e+00,1.0160090500e+32
3.2207202300e-02,2.2415498200e+09,1.5366722700e+07,1.4161226500e+02,3.6728849000e-01,2.0987845400e-02,1.3036463900e+00,1.1356233500e+32
3.3509326300e-02,2.3321747500e+09,1.5338820000e+07,1.4074265300e+02,3.6975066400e-01,2.0983249900e-02,1.3063631600e+00,1.2689314300e+32
3.4867521800e-02,2.4267021500e+09,1.5308742500e+07,1.3981241800e+02,3.7239501200e-01,2.0978267300e-02,1.3092971600e+00,1.4174196300e+32
3.6284607200e-02,2.5253281500e+09,1.5276324600e+07,1.3881802700e+02,3.7523377500e-01,2.0972899000e-02,1.3124670500e+00,1.5827184200e+32
3.7763587200e-02,2.6282618700e+09,1.5241389400e+07,1.3775584700e+02,3.7827981000e-01,2.0967068600e-02,1.3158909600e+00,1.7666125900e+32
3.9220033500e-02,2.7296273000e+09,1.5205916700e+07,1.3668717900e+02,3.8135887200e-01,2.0961109000e-02,1.3193764500e+00,1.9590899200e+32
4.0597767800e-02,2.8255145600e+09,1.5171410700e+07,1.3565701000e+02,3.8434072400e-01,2.0955315400e-02,1.3227770800e+00,2.1515688100e+32
4.1908375300e-02,2.9167299300e+09,1.5137750400e+07,1.3466087900e+02,3.8723682000e-01,2.0949747200e-02,1.3261065100e+00,2.3440492100e+32
4.3160977000e-02,3.0039082300e+09,1.5104837400e+07,1.3369515400e+02,3.9005647300e-01,2.0944282600e-02,1.3293711700e+00,2.5365310700e+32
4.4362897600e-02,3.0875592400e+09,1.5072590900e+07,1.3275680800e+02,3.9280738100e-01,2.0938942800e-02,1.3325796700e+00,2.7290143700e+32
4.5520118600e-02,3.1680992500e+09,1.5040942800e+07,1.3184324700e+02,3.9549599900e-01,2.0933692900e-02,1.3357375400e+00,2.9214990700e+32
4.6637595800e-02,3.2458731900e+09,1.5009835700e+07,1.3095231900e+02,3.9812780500e-01,2.0928514800e-02,1.3388500100e+00,3.1139851500e+32
4.7719486200e-02,3.3211703500e+09,1.4979220200e+07,1.3008218700e+02,4.0070750000e-01,2.0923437200e-02,1.3419228600e+00,3.3064725900e+32
4.8769314300e-02,3.3942360600e+09,1.4949053600e+07,1.2923126500e+02,4.0323915600e-01,2.0918486200e-02,1.3449611700e+00,3.4989613600e+32
4.9790098500e-02,3.4652803800e+09,1.4919298700e+07,1.2839815300e+02,4.0572632800e-01,2.0913585800e-02,1.3479665700e+00,3.6914514400e+32
5.0784445800e-02,3.5344847400e+09,1.4889922500e+07,1.2758161800e+02,4.0817214700e-01,2.0908751200e-02,1.3509427800e+00,3.8839428100e+32
5.1754625400e-02,3.6020070900e+09,1.4860896200e+07,1.2678056600e+02,4.1057938200e-01,2.0903979200e-02,1.3538926500e+00,4.0764354500e+32
5.2702626400e-02,3.6679858600e+09,1.4832193800e+07,1.2599401900e+02,4.1295050300e-01,2.0899246400e-02,1.3568181600e+00,4.2689293600e+32
5.3630203700e-02,3.7325431800e+09,1.4803792100e+07,1.2522110100e+02,4.1528772000e-01,2.0894554200e-02,1.3597217000e+00,4.4614245100e+32
5.4538913900e-02,3.7957873900e+09,1.4775670300e+07,1.2446102100e+02,4.1759302500e-01,2.0889930300e-02,1.3626061900e+00,4.6539208900e+32
5.5430145900e-02,3.8578151600e+09,1.4747809300e+07,1.2371306200e+02,4.1986821800e-01,2.0885392500e-02,1.3654741000e+00,4.8464184900e+32
5.6305144200e-02,3.9187131000e+09,1.4720192000e+07,1.2297657300e+02,4.2211493500e-01,2.0880885600e-02,1.3683256200e+00,5.0389172900e+32
5.7165029500e-02,3.9785592100e+09,1.4692802700e+07,1.2225096000e+02,4.2433466300e-01,2.0876395300e-02,1.3711619600e+00,5.2314172800e+32
5.8010815300e-02,4.0374240200e+09,1.4665627000e+07,1.2153567500e+02,4.2652876600e-01,2.0871955500e-02,1.3739855800e+00,5.4239184600e+32
5.8843421300e-02,4.0953715500e+09,1.4638651600e+07,1.2083021800e+02,4.2869849400e-01,2.0867525000e-02,1.3767966900e+00,5.6164208200e+32
5.9663685600e-02,4.1524601300e+09,1.4611864300e+07,1.2013412500e+02,4.3084499600e-01,2.0863126600e-02,1.3795972200e+00,5.8089243300e+32
6.0472374000e-02,4.2087430500e+09,1.4585253800e+07,1.1944697000e+02,4.3296933500e-01,2.0858796300e-02,1.3823894200e+00,6.0014290100e+32
6.1270188900e-02,4.2642692000e+09,1.4558809600e+07,1.1876835400e+02,4.3507249200e-01,2.0854529900e-02,1.3851742900e+00,6.1939348200e+32
6.2057776300e-02,4.3190835300e+09,1.4532521900e+07,1.1809790900e+02,4.3715537900e-01,2.0850270400e-02,1.3879512200e+00,6.3864417800e+32
6.2835732200e-02,4.3732275300e+09,1.4506381500e+07,1.1743529000e+02,4.3921884200e-01,2.0846007800e-02,1.3907208700e+00,6.5789498700e+32
6.3604607800e-02,4.4267395700e+09,1.4480380000e+07,1.1678017700e+02,4.4126367000e-01,2.0841794000e-02,1.3934857100e+00,6.7714590800e+32
6.4364914100e-02,4.4796552000e+09,1.4454509200e+07,1.1613226800e+02,4.4329059800e-01,2.0837578000e-02,1.3962451000e+00,6.9639694200e+32
6.5117126300e-02,4.5320075100e+09,1.4428761700e+07,1.1549128100e+02,4.4530031400e-01,2.0833368000e-02,1.3990001100e+00,7.1564808600e+32
6.5861687100e-02,4.5838272800e+09,1.4403130300e+07,1.1485695000e+02,4.4729346300e-01,2.0829221300e-02,1.4017532200e+00,7.3489934100e+32
6.6599009500e-02,4.6351432800e+09,1.4377608300e+07,1.1422902700e+02,4.4927065000e-01,2.0825109000e-02,1.4045043300e+00,7.5415070600e+32
6.7329480100e-02,4.6859824200e+09,1.4352189300e+07,1.1360727600e+02,4.5123244500e-01,2.0821016500e-02,1.4072537400e+00,7.7340218000e+32
6.8053461800e-02,4.7363699400e+09,1.4326867300e+07,1.1299147400e+02,4.5317938200e-01,2.0816902600e-02,1.4100008700e+00,7.9265376400e+32
6.8771295700e-02,4.7863295800e+09,1.4301636600e+07,1.1238141000e+02,4.5511196600e-01,2.0812803100e-02,1.4127474600e+00,8.1190545600e+32
6.9483302300e-02,4.8358836700e+09,1.4276491700e+07,1.1177688400e+02,4.5703067300e-01,2.0808732600e-02,1.4154945700e+00,8.3115725600e+32
7.0189783600e-02,4.8850531900e+09,1.4251427300e+07,1.1117770900e+02,4.5893595200e-01,2.0804690400e-02,1.4182427900e+00,8.5040916400e+32
7.0891024500e-02,4.9338580100e+09,1.4226438600e+07,1.1058370300e+02,4.6082822800e-01,2.0800696500e-02,1.4209933200e+00,8.6966118000e+32
7.1587295500e-02,4.9823169200e+09,1.4201520800e+07,1.0999469700e+02,4.6270790800e-01,2.0796707600e-02,1.4237454000e+00,8.8891330200e+32
7.2278853600e-02,5.0304478300e+09,1.4176669200e+07,1.0941052500e+02,4.6457537800e-01,2.0792685700e-02,1.4264984400e+00,9.0816553200e+32
7.2965942300e-02,5.0782676800e+09,1.4151879600e+07,1.0883103300e+02,4.6643100000e-01,2.0788677500e-02,1.4292543700e+00,9.2741786800e+32
7.3648792400e-02,5.1257925300e+09,1.4127147600e+07,1.0825607100e+02,4.6827512100e-01,2.0784717300e-02,1.4320147700e+00,9.4667031000e+32
7.4327624400e-02,5.1730377300e+09,1.4102469100e+07,1.0768549700e+02,4.7010807200e-01,2.0780786600e-02,1.4347795700e+00,9.6592285800e+32
7.5002648500e-02,5.2200179200e+09,1.4077840400e+07,1.0711917400e+02,4.7193016700e-01,2.0776887800e-02,1.4375493500e+00,9.8517551200e+32
7.5674065600e-02,5.2667470600e+09,1.4053257500e+07,1.0655697300e+02,4.7374170800e-01,2.0772990300e-02,1.4403236400e+00,1.0044282700e+33
7.6342068000e-02,5.3132385300e+09,1.4028716800e+07,1.0599876600e+02,4.7554298000e-01,2.0769091400e-02,1.4431028500e+00,1.0236811400e+33
7.7006839100e-02,5.3595051300e+09,1.4004214700e+07,1.0544443600e+02,4.7733425800e-01,2.0765238500e-02,1.4458888700e+00,1.0429341100e+33
7.7668554700e-02,5.4055590700e+09,1.3979747800e+07,1.0489386400e+02,4.7911580200e-01,2.0761419800e-02,1.4486818200e+00,1.0621871800e+33
7.8327383900e-02,5.4514121200e+09,1.3955312800e+07,1.0434694200e+02,4.8088786500e-01,2.0757588100e-02,1.4514806700e+00,1.0814403600e+33
7.8983489600e-02,5.4970756200e+09,1.3930906400e+07,1.0380356000e+02,4.8265069000e-01,2.0753748800e-02,1.4542860100e+00,1.1006936500e+33
7.9637030300e-02,5.5425606000e+09,1.3906525300e+07,1.0326361300e+02,4.8440451400e-01,2.0749935700e-02,1.4570993500e+00,1.1199470400e+33
8.0288158700e-02,5.5878777000e+09,1.3882166500e+07,1.0272700200e+02,4.8614956100e-01,2.0746143400e-02,1.4599209300e+00,1.1392005300e+33
8.0937020700e-02,5.6330370500e+09,1.3857826900e+07,1.0219362800e+02,4.8788604200e-01,2.0742349400e-02,1.4627504800e+00,1.1584541300e+33
8.1583757900e-02,5.6780485200e+09,1.3833503500e+07,1.0166339900e+02,4.8961416400e-01,2.0738550100e-02,1.4655883000e+00,1.1777078300e+33
8.2228507000e-02,5.7229216300e+09,1.3809193400e+07,1.0113622300e+02,4.9133412300e-01,2.0734770900e-02,1.4684356000e+00,1.1969616400e+33
8.2871400200e-02,5.7676655700e+09,1.3784893900e+07,1.0061201400e+02,4.9304610900e-01,2.0731000900e-02,1.4712924500e+00,1.2162155600e+33
8.3512567200e-02,5.8122893700e+09,1.3760602100e+07,1.0009068600e+02,4.9475030900e-01,2.0727231400e-02,1.4741589800e+00,1.2354695700e+33
8.4152134100e-02,5.8568018100e+09,1.3736315100e+07,9.9572156700e+01,4.9644690300e-01,2.0723468200e-02,1.4770358000e+00,1.2547237000e+33
8.4790222500e-02,5.9012113400e+09,1.3712030400e+07,9.9056351200e+01,4.9813606300e-01,2.0719713200e-02,1.4799233900e+00,1.2739779200e+33
8.5426950800e-02,5.9455262300e+09,1.3687745200e+07,9.8543190800e+01,4.9981795400e-01,2.0715967000e-02,1.4828221800e+00,1.2932322600e+33
8.6062435300e-02,5.9897545300e+09,1.3663456800e+07,9.8032599600e+01,5.0149274900e-01,2.0712222000e-02,1.4857571700e+00,1.3124866900e+33
